City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Carman,49.4992,-98.0016,71.94,52,76,4.61,CA,2022-08-03 23:22:20
Ruidoso,33.3317,-105.673,80.96,49,91,11.5,US,2022-08-03 23:18:56
Tura,25.5198,90.2201,73.56,95,100,2.3,IN,2022-08-03 23:22:21
Yumen,40.2833,97.2,74.07,34,0,12.3,CN,2022-08-03 23:22:21
Lompoc,34.6391,-120.4579,91.78,65,0,13.8,US,2022-08-03 23:12:36
Qui Nhon,13.7667,109.2333,78.6,82,100,5.08,VN,2022-08-03 23:22:22
Pawāyan,28.0667,80.1,79.36,89,100,5.68,IN,2022-08-03 23:22:23
Vostok,46.4856,135.8833,71.4,84,76,1.57,RU,2022-08-03 23:22:23
Tiznit Province,29.5833,-9.5,85.23,29,80,2.1,MA,2022-08-03 23:22:24
Egvekinot,66.3167,-179.1667,54.16,65,56,6.26,RU,2022-08-03 23:22:24
Cabo San Lucas,22.8909,-109.9124,95.61,43,0,3.44,MX,2022-08-03 23:20:00
Karasburg,-28.0167,18.75,52.68,72,0,4.56,NA,2022-08-03 23:22:25
Hergla,36.0303,10.509,82.26,78,0,3.44,TN,2022-08-03 23:22:25
Bairiki Village,1.3292,172.9752,86.0,70,40,8.05,KI,2022-08-03 23:22:26
Rome,43.2128,-75.4557,86.86,50,0,4.61,US,2022-08-03 23:20:38
Geraldton,-28.7667,114.6,59.41,72,40,18.41,AU,2022-08-03 23:12:57
Ahipara,-35.1667,173.1667,61.48,74,2,3.6,NZ,2022-08-03 23:12:41
Husavik,66.0449,-17.3389,44.2,97,100,13.73,IS,2022-08-03 23:22:27
São Gabriel da Cachoeira,-0.1303,-67.0892,74.35,96,38,2.13,BR,2022-08-03 23:22:28
Lermontovka,47.1453,134.3383,76.14,80,74,3.85,RU,2022-08-03 23:22:28
Port Blair,11.6667,92.75,78.84,89,75,8.05,IN,2022-08-03 23:22:28
Fortuna,40.5982,-124.1573,73.92,72,20,12.66,US,2022-08-03 23:22:29
Tual,-5.6667,132.75,79.39,85,58,15.21,ID,2022-08-03 23:22:29
Bafra,41.5678,35.9069,70.79,84,41,3.98,TR,2022-08-03 23:22:30
Leningradskiy,69.3833,178.4167,43.66,87,100,3.98,RU,2022-08-03 23:22:30
Elizabeth City,36.2946,-76.2511,94.01,70,0,9.22,US,2022-08-03 23:21:42
Jilin,43.0,126.0,74.46,91,0,4.79,CN,2022-08-03 23:22:31
Port Lincoln,-34.7333,135.8667,56.37,72,2,29.06,AU,2022-08-03 23:22:32
Tutóia,-2.7619,-42.2744,77.86,85,30,13.69,BR,2022-08-03 23:22:32
Colesberg,-30.72,25.0972,52.5,81,100,3.85,ZA,2022-08-03 23:22:32
Cardoso,-20.0819,-49.9142,77.86,33,11,6.31,BR,2022-08-03 23:22:33
Kupang,-10.1667,123.5833,73.54,79,96,7.58,ID,2022-08-03 23:22:33
Vao,-22.6667,167.4833,72.18,80,46,13.6,NC,2022-08-03 23:22:34
La Ciotat,43.1748,5.6045,78.78,80,19,0.4,FR,2022-08-03 23:22:34
Sur,22.5667,59.5289,86.16,68,26,9.15,OM,2022-08-03 23:22:35
Mimongo,-1.6195,11.6068,70.38,76,80,4.41,GA,2022-08-03 23:22:35
Marystown,47.1666,-55.1483,67.86,100,38,7.0,CA,2022-08-03 23:22:36
Kalas,18.1667,74.8,77.76,77,100,7.14,IN,2022-08-03 23:22:36
Lüderitz,-26.6481,15.1594,53.92,94,2,11.25,NA,2022-08-03 23:22:37
Kahului,20.8947,-156.47,86.02,54,40,23.02,US,2022-08-03 23:10:20
Saint-Joseph,-21.3667,55.6167,64.78,80,27,8.43,RE,2022-08-03 23:22:38
Ribeira Grande,38.5167,-28.7,75.87,88,18,5.86,PT,2022-08-03 23:22:39
Qaqortoq,60.7167,-46.0333,47.32,98,100,14.83,GL,2022-08-03 23:22:39
Namatanai,-3.6667,152.4333,80.91,81,71,10.87,PG,2022-08-03 23:22:40
‘Ewa Beach,21.3156,-158.0072,85.37,54,40,16.11,US,2022-08-03 23:19:23
Vieste,41.8825,16.175,78.67,62,0,9.6,IT,2022-08-03 23:22:40
Tuatapere,-46.1333,167.6833,50.22,79,98,10.18,NZ,2022-08-03 23:22:41
Huilong,31.8111,121.655,85.93,81,1,15.39,CN,2022-08-03 23:22:42
Poum,-20.2333,164.0167,75.63,82,5,7.9,NC,2022-08-03 23:22:42
Neyshabur,36.2133,58.7958,75.2,28,0,2.84,IR,2022-08-03 23:22:43
Parāsia,22.2,78.7667,73.76,87,83,2.44,IN,2022-08-03 23:22:44
Fairbanks,64.8378,-147.7164,74.08,48,40,5.75,US,2022-08-03 23:20:51
Pandan,14.0453,124.1694,79.84,87,100,1.36,PH,2022-08-03 23:20:27
Bandarbeyla,9.4942,50.8122,76.12,83,20,30.53,SO,2022-08-03 23:12:49
Scottsbluff,41.8666,-103.6672,92.52,30,0,8.05,US,2022-08-03 23:22:45
Koumac,-20.5667,164.2833,77.34,77,11,7.25,NC,2022-08-03 23:22:45
Dongsheng,39.8161,109.9776,74.75,63,60,12.55,CN,2022-08-03 23:22:46
City of San Pedro,14.35,121.0167,82.26,83,75,2.3,PH,2022-08-03 23:14:59
Praia,14.9215,-23.5087,78.53,84,88,5.64,CV,2022-08-03 23:13:12
Olinda,-8.0089,-34.8553,73.13,94,75,8.05,BR,2022-08-03 23:22:47
Sakakah,29.9697,40.2064,98.17,21,3,9.31,SA,2022-08-03 23:22:47
Comodoro Rivadavia,-45.8667,-67.5,44.46,61,0,4.61,AR,2022-08-03 23:22:48
Hualmay,-11.0964,-77.6139,62.96,80,21,10.89,PE,2022-08-03 23:22:48
Mayo,38.8876,-76.5119,91.51,62,0,8.05,US,2022-08-03 23:19:09
Sobolevo,54.4299,31.8996,63.48,92,91,0.16,RU,2022-08-03 23:22:49
Hirara,24.8,125.2833,84.47,84,20,6.91,JP,2022-08-03 23:22:50
Sandakan,5.8402,118.1179,78.48,89,20,4.61,MY,2022-08-03 23:22:50
Kholodnyy,62.7167,147.95,65.68,65,96,5.53,RU,2022-08-03 23:22:51
Tremedal,-14.9758,-41.4108,69.24,49,12,6.29,BR,2022-08-03 23:22:51
Ugento,39.9263,18.1574,76.46,62,0,10.58,IT,2022-08-03 23:22:52
Mount Gambier,-37.8333,140.7667,50.09,82,17,11.92,AU,2022-08-03 23:22:52
Brainerd,46.358,-94.2008,74.86,53,20,18.41,US,2022-08-03 23:18:00
Kavaratti,10.5669,72.642,77.25,89,100,34.27,IN,2022-08-03 23:19:19
Morant Bay,17.8815,-76.4093,83.71,78,100,9.91,JM,2022-08-03 23:22:53
Zunyi,27.6867,106.9072,72.18,87,25,1.52,CN,2022-08-03 23:22:54
Saint Anthony,45.0205,-93.218,83.35,49,20,17.27,US,2022-08-03 23:22:54
Ailigandí,9.2333,-78.0167,77.94,84,96,4.65,PA,2022-08-03 23:22:55
Uyuni,-20.4597,-66.825,42.62,15,0,13.67,BO,2022-08-03 23:22:55
Daşoguz,41.8363,59.9666,73.35,49,0,6.91,TM,2022-08-03 23:22:56
Bhadrāchalam,17.6667,80.8833,76.78,95,95,1.45,IN,2022-08-03 23:22:56
Mitú,1.1983,-70.1733,74.41,85,31,3.15,CO,2022-08-03 23:22:57
Kokoda,-8.8785,147.7407,83.25,59,43,5.12,PG,2022-08-03 23:22:57
San Cristobal,7.7669,-72.225,75.38,92,97,1.5,VE,2022-08-03 23:22:58
Ardeşen,41.1911,40.9875,75.99,81,24,3.8,TR,2022-08-03 23:22:58
Porto-Novo,6.4965,2.6036,73.22,82,53,9.4,BJ,2022-08-03 23:22:59
Usinsk,65.9939,57.5281,58.42,89,30,10.33,RU,2022-08-03 23:22:59
Pinega,64.7001,43.3936,53.42,85,58,4.5,RU,2022-08-03 23:23:00
Kosh-Agach,50.0,88.6667,48.4,80,77,1.5,RU,2022-08-03 23:23:01
Vardø,70.3705,31.1107,51.78,100,100,2.3,NO,2022-08-03 23:23:01
Noyabrsk,63.1994,75.4507,57.31,64,95,5.41,RU,2022-08-03 23:23:02
Cairns,-16.9167,145.7667,77.07,83,75,10.36,AU,2022-08-03 23:19:55
Nome,64.5011,-165.4064,55.47,82,100,6.91,US,2022-08-03 23:23:04
Casper,42.8666,-106.3131,89.73,26,20,4.61,US,2022-08-03 23:21:55
Tessalit,20.1986,1.0114,90.18,33,77,16.64,ML,2022-08-03 23:23:05
Sitka,57.0531,-135.33,62.49,72,100,3.44,US,2022-08-03 23:23:06
Mirpur Khas,25.5251,69.0159,84.11,72,82,11.25,PK,2022-08-03 23:23:06
Nagua,19.3832,-69.8474,80.65,83,40,0.0,DO,2022-08-03 23:23:07
Enugu,6.4402,7.4943,76.39,83,40,3.44,NG,2022-08-03 23:23:07
Shimoda,34.6667,138.95,77.36,85,72,10.6,JP,2022-08-03 23:23:08
Champerico,14.3,-91.9167,88.34,73,77,4.07,GT,2022-08-03 23:23:08
Yangi Marg`ilon,40.4272,71.7189,75.72,40,35,1.39,UZ,2022-08-03 23:19:12
Marabu,4.4148,114.0089,75.34,100,40,1.14,MY,2022-08-03 23:23:09
Narsaq,60.9167,-46.05,50.22,94,100,2.21,GL,2022-08-03 23:23:10
Entre Rios,-11.9419,-38.0844,68.67,85,73,4.16,BR,2022-08-03 23:23:10
Omsukchan,62.5333,155.8,61.52,69,89,6.55,RU,2022-08-03 23:23:11
Belmonte,-15.8631,-38.8828,70.43,76,0,7.2,BR,2022-08-03 23:23:13
Gorontalo,0.5412,123.0595,76.64,89,53,1.9,ID,2022-08-03 23:21:51
Kommunisticheskiy,61.6789,64.4819,56.41,76,9,4.56,RU,2022-08-03 23:23:13
Amahai,-3.3333,128.9167,77.79,83,100,2.13,ID,2022-08-03 23:23:14
Palmer,42.1584,-72.3287,87.4,57,20,3.44,US,2022-08-03 23:23:14
Young,-32.6833,-57.6333,57.63,98,100,7.56,UY,2022-08-03 23:23:15
Mgandu,-5.95,34.1333,59.65,62,28,7.29,TZ,2022-08-03 23:23:15
Homa Bay,-0.5273,34.4571,65.52,84,63,4.14,KE,2022-08-03 23:23:16
Gizo Government Station,-8.103,156.8419,82.72,71,36,7.81,SB,2022-08-03 23:23:16
Birin,26.8865,88.0718,63.63,98,100,2.73,NP,2022-08-03 23:23:17
Lázaro Cárdenas,17.9583,-102.2,86.31,66,33,11.41,MX,2022-08-03 23:18:30
Zanzibar,-6.1639,39.1979,71.29,86,1,4.81,TZ,2022-08-03 23:23:18
Guilin,25.2819,110.2864,78.91,91,77,1.28,CN,2022-08-03 23:20:43
Chokwé,-24.5333,32.9833,62.35,72,0,6.76,MZ,2022-08-03 23:23:19
Lamar,33.6668,-95.5836,106.99,27,0,8.05,US,2022-08-03 23:22:24
Mogadishu,2.0371,45.3438,75.36,84,25,17.22,SO,2022-08-03 23:23:20
Loandjili,-4.7561,11.8578,68.81,90,6,5.99,CG,2022-08-03 23:23:21
Timbiras,-4.2553,-43.9406,82.17,54,87,3.67,BR,2022-08-03 23:23:21
West Bay,19.3667,-81.4167,87.08,76,20,6.91,KY,2022-08-03 23:21:07
Padang,-0.9492,100.3543,75.79,94,100,9.82,ID,2022-08-03 23:23:22
Porto Nacional,-10.7081,-48.4172,81.54,29,1,2.39,BR,2022-08-03 23:23:22
Jasło,49.7451,21.4725,59.58,71,11,2.57,PL,2022-08-03 23:23:23
Saldanha,-33.0117,17.9442,51.85,74,85,7.0,ZA,2022-08-03 23:23:23
Kudahuvadhoo,2.6708,72.8944,80.87,77,97,19.3,MV,2022-08-03 23:23:24
Tateyama,34.9833,139.8667,78.1,87,90,13.49,JP,2022-08-03 23:23:24
La Libertad,-2.2333,-80.9,71.26,83,100,4.61,EC,2022-08-03 23:21:06
Mazatlán,23.2167,-106.4167,90.91,77,40,8.05,MX,2022-08-03 23:22:52
Kabo,7.6994,18.629,70.18,95,74,2.48,CF,2022-08-03 23:23:25
Orán,-23.1322,-64.326,63.59,74,58,2.19,AR,2022-08-03 23:23:26
Gawler,-34.6,138.7333,59.25,70,8,16.17,AU,2022-08-03 23:23:26
Marsh Harbour,26.5412,-77.0636,83.95,68,2,12.71,BS,2022-08-03 23:23:03
Alta Floresta,-9.8756,-56.0861,82.72,31,79,4.05,BR,2022-08-03 23:23:27
São Filipe,14.8961,-24.4956,77.18,85,74,4.45,CV,2022-08-03 23:23:27
Douentza,14.9951,-2.9517,86.59,54,32,6.2,ML,2022-08-03 23:23:28
Krasnoarmeysk,51.0239,45.6969,66.61,69,98,5.44,RU,2022-08-03 23:19:16
Province of Mantua,45.1667,10.7833,79.84,72,0,1.99,IT,2022-08-03 23:23:30
Petaluma,38.2324,-122.6367,98.94,43,0,10.36,US,2022-08-03 23:23:30
Uva,56.9908,52.1852,65.82,74,99,1.3,RU,2022-08-03 23:23:31
Tegul'det,57.3064,88.1667,51.13,98,99,3.96,RU,2022-08-03 23:23:31
Phang Nga,8.4509,98.5298,75.24,95,100,2.19,TH,2022-08-03 23:23:24
Salinas,36.6777,-121.6555,98.56,58,0,12.66,US,2022-08-03 23:21:05
Berlevåg,70.8578,29.0864,57.0,89,63,8.57,NO,2022-08-03 23:23:32
Flinders,-34.5833,150.8552,65.05,80,100,5.99,AU,2022-08-03 23:23:33
Aykhal,66.0,111.5,39.47,97,100,25.55,RU,2022-08-03 23:23:33
Lima,-12.0432,-77.0282,63.9,75,100,11.5,PE,2022-08-03 23:22:02
Røros,62.5747,11.3842,51.64,93,74,3.44,NO,2022-08-03 23:23:34
Lashio,22.9333,97.75,67.21,100,35,0.54,MM,2022-08-03 23:23:07
Roquetas de Mar,36.7642,-2.6148,86.61,42,1,5.28,ES,2022-08-03 23:23:35
Bowen,-20.0167,148.2333,68.99,80,99,8.52,AU,2022-08-03 23:21:45
Sanchursk,56.9413,47.2499,65.3,77,71,2.48,RU,2022-08-03 23:23:36
Meulaboh,4.1363,96.1285,73.94,90,100,3.83,ID,2022-08-03 23:23:36
Tomatlán,19.9333,-105.25,90.23,57,61,7.0,MX,2022-08-03 23:23:37
Sarkand,45.41,79.9186,67.17,45,15,6.73,KZ,2022-08-03 23:23:37
College,64.8569,-147.8028,74.07,48,75,5.75,US,2022-08-03 23:23:38
Oyama,36.3,139.8,79.59,83,100,3.11,JP,2022-08-03 23:23:38
Alekseyevsk,57.8406,108.3492,53.96,80,4,3.98,RU,2022-08-03 23:23:39
Dothan,31.2232,-85.3905,89.8,61,0,5.75,US,2022-08-03 23:19:35
Marigot,18.0667,-63.0833,84.29,71,20,13.8,MF,2022-08-03 23:23:39
Hanzhong,33.0728,107.0303,76.46,80,3,1.01,CN,2022-08-03 23:23:40
Puerto Baquerizo Moreno,-0.9,-89.6,69.28,73,82,13.15,EC,2022-08-03 23:23:40
Ust'-Kut,56.7938,105.7672,52.7,81,18,1.7,RU,2022-08-03 23:23:41
Mount Darwin,-16.7725,31.5838,54.66,81,14,3.24,ZW,2022-08-03 23:23:41
Ambon City,-3.6954,128.1814,80.74,83,40,3.44,ID,2022-08-03 23:23:42
Merauke,-8.4667,140.3333,79.3,84,26,13.62,ID,2022-08-03 23:19:13
Skibbereen,51.55,-9.2667,55.11,83,12,10.25,IE,2022-08-03 23:23:43
Waingapu,-9.6567,120.2641,72.81,82,53,6.76,ID,2022-08-03 23:23:43
Koygorodok,60.445,50.9968,60.66,73,93,3.98,RU,2022-08-03 23:23:44
Tautira,-17.7333,-149.15,77.0,80,45,25.64,PF,2022-08-03 23:23:44
Kuril'sk,45.2333,147.8833,56.86,83,99,10.45,RU,2022-08-03 23:23:45
El Alto,-4.2714,-81.2147,69.46,78,39,9.66,PE,2022-08-03 23:23:46
Mykolayivka,47.5414,30.7561,65.5,93,13,7.67,UA,2022-08-03 23:23:46
Tarko-Sale,64.9225,77.785,58.19,64,78,4.07,RU,2022-08-03 23:23:47
Ca Mau,9.1769,105.15,76.71,92,100,3.33,VN,2022-08-03 23:23:47
Akdepe,42.0551,59.3788,73.49,35,0,5.57,TM,2022-08-03 23:23:48
Suntar,62.1444,117.6319,64.36,92,100,3.67,RU,2022-08-03 23:23:48
Bereda,43.2686,-7.5406,66.42,100,98,4.99,ES,2022-08-03 23:23:49
Baraboo,43.4711,-89.7443,82.54,88,0,5.75,US,2022-08-03 23:23:50
Kysyl-Syr,63.8986,122.7617,56.23,56,49,10.11,RU,2022-08-03 23:23:50
Inta,66.0317,60.1659,63.25,62,97,11.25,RU,2022-08-03 23:23:51
Chapais,49.7834,-74.8492,58.78,89,100,12.24,CA,2022-08-03 23:23:51
Dovolnoye,54.4958,79.6671,52.75,83,4,6.4,RU,2022-08-03 23:23:51
Boksitogorsk,59.474,33.8485,52.61,84,8,2.44,RU,2022-08-03 23:23:52
Caála,-12.8525,15.5606,61.11,44,57,3.22,AO,2022-08-03 23:23:52
Dudinka,69.4058,86.1778,54.63,64,17,2.8,RU,2022-08-03 23:23:53
Ilulissat,69.2167,-51.1,50.02,62,100,2.3,GL,2022-08-03 23:19:22
Pangody,65.85,74.4859,58.21,60,58,6.98,RU,2022-08-03 23:23:55
Province of Trapani,37.8333,12.6667,81.28,78,0,2.3,IT,2022-08-03 23:23:55
Isangel,-19.55,169.2667,80.71,83,75,4.61,VU,2022-08-03 23:23:56
Kinablangan,7.6947,126.5503,80.51,77,80,2.82,PH,2022-08-03 23:23:56
Kloulklubed,7.0419,134.2556,81.1,90,100,8.34,PW,2022-08-03 23:23:57
Pyu,18.4833,96.4333,75.04,97,93,2.77,MM,2022-08-03 23:23:57
Luanda,-8.8368,13.2343,66.06,86,2,9.98,AO,2022-08-03 23:23:58
Jiaojiang,28.6803,121.4428,82.81,84,11,3.33,CN,2022-08-03 23:23:58
Santa Cecília,-26.9608,-50.4269,55.54,89,25,2.91,BR,2022-08-03 23:23:59
Marzuq,14.4,46.4667,79.92,60,85,4.32,YE,2022-08-03 23:23:59
San Martín,-33.081,-68.4681,54.14,49,82,2.71,AR,2022-08-03 23:24:00
Lodwar,3.1191,35.5973,83.5,41,90,14.14,KE,2022-08-03 23:24:01
Sudak,44.85,34.9667,71.8,69,0,3.42,UA,2022-08-03 23:24:01
Helong,42.5397,128.9972,74.86,88,54,3.49,CN,2022-08-03 23:24:01
Kungurtug,50.5994,97.5228,53.44,77,41,1.12,RU,2022-08-03 23:24:02
Lewistown,40.5992,-77.5714,90.81,72,0,8.05,US,2022-08-03 23:21:40
Grindavik,63.8424,-22.4338,48.15,76,40,13.8,IS,2022-08-03 23:24:03
Mbandaka,0.0487,18.2603,71.01,82,8,2.89,CD,2022-08-03 23:24:03
Cururupu,-1.8283,-44.8683,75.16,87,34,4.0,BR,2022-08-03 23:24:04
Swift Current,50.2834,-107.8014,86.81,21,0,13.8,CA,2022-08-03 23:24:05
Fatehābād,29.5167,75.45,85.62,73,60,4.5,IN,2022-08-03 23:24:05
Sault Ste. Marie,46.5168,-84.3333,79.36,82,40,5.75,CA,2022-08-03 23:22:07
Aksarka,66.5606,67.7975,57.97,66,11,8.05,RU,2022-08-03 23:24:06
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,62.53,93,86,9.06,AR,2022-08-03 23:24:07
Shawville,45.6001,-76.4827,72.86,67,80,8.19,CA,2022-08-03 23:24:07
Klaksvík,62.2266,-6.589,49.12,82,75,14.54,FO,2022-08-03 23:24:08
Vila Franca do Campo,37.7167,-25.4333,73.81,89,35,5.88,PT,2022-08-03 23:24:08
Bestöbe,52.4994,73.0975,58.73,62,0,8.99,KZ,2022-08-03 23:24:09
Zyryanka,65.75,150.85,55.42,91,100,7.58,RU,2022-08-03 23:20:31
Antalaha,-14.9003,50.2788,66.83,81,24,6.17,MG,2022-08-03 23:24:10
Codrington,-38.2667,141.9667,51.66,82,12,18.16,AU,2022-08-03 23:24:10
Malatya Province,38.5,38.0,80.65,26,0,6.91,TR,2022-08-03 23:21:27
Masty,53.4122,24.5387,58.39,76,4,3.24,BY,2022-08-03 23:24:11
Gudāri,19.35,83.7833,77.31,93,98,0.43,IN,2022-08-03 23:24:11
Kikwit,-5.041,18.8162,76.1,58,4,2.28,CD,2022-08-03 23:24:12
Havelock,34.8791,-76.9013,86.05,88,20,8.05,US,2022-08-03 23:24:12
Wilmington Island,32.0036,-80.9737,83.98,72,0,5.75,US,2022-08-03 23:24:13
Wanning,18.8003,110.3967,79.83,87,100,6.04,CN,2022-08-03 23:24:14
Maceió,-9.6658,-35.7353,72.84,94,100,8.05,BR,2022-08-03 23:24:14
Ayorou,14.7308,0.9174,91.81,41,11,6.22,NE,2022-08-03 23:24:15
East Angus,45.4834,-71.6658,77.22,55,40,3.44,CA,2022-08-03 23:24:15
Brejo Santo,-7.4933,-38.9872,73.63,87,85,7.56,BR,2022-08-03 23:24:16
Altamirano,16.8833,-92.15,71.06,49,6,6.26,MX,2022-08-03 23:24:16
Grootfontein,-19.5667,18.1167,60.3,13,13,7.85,NA,2022-08-03 23:24:17
Thinadhoo,0.5333,72.9333,80.37,76,99,14.97,MV,2022-08-03 23:24:17
Stornoway,58.2093,-6.3865,51.76,93,100,8.05,GB,2022-08-03 23:24:18
Aguaí,-22.0594,-46.9786,69.1,38,0,4.7,BR,2022-08-03 23:24:19
Frolishchi,56.4211,42.6533,61.48,75,100,2.62,RU,2022-08-03 23:24:19
Hamilton,39.1834,-84.5333,88.59,60,0,3.44,US,2022-08-03 23:20:25
Uíge,-7.6087,15.0613,67.35,66,34,2.77,AO,2022-08-03 23:24:20
Chatrapur,19.35,84.9833,82.27,75,99,0.34,IN,2022-08-03 23:24:22
Grodzisk Wielkopolski,52.2276,16.3653,75.72,57,65,8.16,PL,2022-08-03 23:24:22
Aklavik,68.2191,-135.0107,64.4,59,40,0.0,CA,2022-08-03 23:24:23
Golden Gate,26.1879,-81.6951,80.65,94,75,4.61,US,2022-08-03 23:24:23
Pemba,-12.974,40.5178,68.7,100,20,6.91,MZ,2022-08-03 23:23:43
Surgut,61.25,73.4167,55.58,81,0,4.47,RU,2022-08-03 23:24:24
Departamento de Maldonado,-34.6667,-54.9167,51.22,95,100,3.58,UY,2022-08-03 23:24:24
Vila do Maio,15.1333,-23.2167,79.59,82,74,7.52,CV,2022-08-03 23:24:25
Great Falls,47.5002,-111.3008,94.39,10,0,20.71,US,2022-08-03 23:21:00
Elesbão Veloso,-6.2019,-42.1403,79.14,54,59,5.5,BR,2022-08-03 23:24:26
Mocuba,-16.8392,36.9856,61.63,97,1,0.6,MZ,2022-08-03 23:24:26
Kangaatsiaq,68.3065,-53.4641,45.16,75,100,14.83,GL,2022-08-03 23:24:27
Zhezkazgan,47.8043,67.7144,67.44,70,100,12.64,KZ,2022-08-03 23:24:27
Saryg-Sep,51.5,95.6,56.43,78,90,1.3,RU,2022-08-03 23:24:28
Sauce,-34.6469,-56.0628,51.42,93,100,10.22,UY,2022-08-03 23:24:28
Quang Ngai,15.1167,108.8,75.63,86,98,5.26,VN,2022-08-03 23:24:29
Sarakhs,36.5449,61.1577,80.04,26,0,9.69,IR,2022-08-03 23:24:29
Kjøllefjord,70.9457,27.3465,53.65,83,60,7.63,NO,2022-08-03 23:24:25
Kurtalan,37.9272,41.7028,85.1,25,0,1.5,TR,2022-08-03 23:24:30
Whitehorse,60.7161,-135.0538,65.17,68,75,10.36,CA,2022-08-03 23:23:10
